"Vremenska oznaka","1. Satnica koju bi volio/la imati tijekom prakse: [kn]","2. Satnica koju bi volio/la imati tijekom zaposlenja: [kn]","Iznos satnice","Fleksibilno radno vrijeme","Mogućnost rada od kuće","Hardver i periferija od firme","Kava, piće, voće, grickalice na poslu","Plaćeni/subvencionirani obrok","Mogućnost za napretkom i poboljšanjem vlastitih sposobnosti","Korištnje tehnologija po želji, ukoliko okolnosti omogućavaju","Utjecaj pojedinca, postojanje nadležne osobe koja sluša Vaše ideje i zahtjeve.","Mogućnost nastavka rada nakon prakse ","4. Nenavedene značajke i usluge koje smatraš da su trebale biti prisutne u pitanju iznad:","Lokacija","Radni prostor","6. Opaženi nedostaci, poteškoće za vrijeme suradnje s dosadašnjim poslodavcima:","7. Postoji li išta što Vam djeluje daleko od stvarnosti a mislite da je izvedivo tijekom prakse/rada:"
"2020/09/22 8:27:52 PM EET","30","60","4","3","4","3","2","2","3","3","4","4","","Centar","Vlastiti ured","Davanje poslova koje nitko ne zeli novozaposlenoj osobi. Po meni lose utjece na moral i motivaciju osobe ako se suoci sa skoro nemogucim problemom pri zaposlenju.","Bilo bi fora da se mogu donosit kucni ljubimci na posao, iako bi mozda zakompliciralo radnu okolinu?"
"2020/09/22 8:40:59 PM EET","30kn ","35","4","4","2","2","2","0","4","2","2","4","","Predgrađe","Otvoreni prostor s više ljudi","",""
"2020/09/22 8:46:44 PM EET","29-35","40","4","4","3","4","3","3","4","3","4","3","Trenutno se ne mogu sjetiti. Mislim da su navedene značajke vrlo dobre.","Centar","Otvoreni prostor s više ljudi","Trenutno nemam takvih iskustava.","Mogućnost postojanja tima koji bi pomogao studentima u učenju i njihovom rastu unutar firme."
"2020/09/22 8:48:58 PM EET","35 ","50","4","4","3","4","4","4","4","4","4","4","","Centar","Otvoreni prostor s više ljudi","",""
"2020/09/22 9:02:28 PM EET","30","70","4","4","4","1","2","2","3","3","3","2","","Centar","Vlastiti ured","",""
"2020/09/22 9:08:12 PM EET","40","50","4","4","4","2","0","4","4","2","3","4","","Centar","Otvoreni prostor s više ljudi","",""
"2020/09/22 11:54:10 PM EET","32","45","3","2","3","4","4","0","4","3","3","2","","Centar","Vlastiti ured","",""
"2020/09/23 12:12:35 AM EET","20","40","2","3","3","2","0","2","4","3","3","3","Nema","Centar","Vlastiti ured","Manjak komunikacije","Ne znam"
"2020/09/23 12:26:43 AM EET","25","40","3","4","3","4","0","1","4","4","2","2","","Centar","Otvoreni prostor s više ljudi","Manjak pažnje mentora","Neki poveći projekt"
"2020/09/23 12:36:26 AM EET","30-35","40","3","3","2","2","2","3","3","3","3","4","","Centar","Otvoreni prostor s više ljudi","",""
"2020/09/23 2:26:28 AM EET","35","50","4","3","4","2","0","3","3","4","3","3","","Predgrađe","Otvoreni prostor s više ljudi","",""
"2020/09/23 8:40:02 AM EET","30","40","4","4","4","2","1","3","4","4","4","4","","Predgrađe","Vlastiti ured","",""
"2020/09/23 8:53:19 AM EET","Čim je praksa plaćena to mnogo znači. Bila bih ok sa satnicom od 25,39 (minimalac) do 30 kn, ovisno o vrsti posla, količini iskustva i postignutoj kvaliteti.","40","4","4","4","4","1","2","4","3","3","2","Ne razumijem pitanje?","Centar","Vlastiti ured","Ne","Ne razumijem pitanje?"
"2020/09/23 12:35:05 PM EET","28","30","3","4","3","2","3","3","4","4","4","4","","Centar","Otvoreni prostor s više ljudi","Poslodavac prati moj rad, ali ispravke na projektu traži kad završim s njim iako mi je za određene promjene mogao i ranije reći",""
"2020/09/23 2:39:29 PM EET","25-30","50","4","2","1","0","1","1","4","1","3","4","Materijali o korištenim tehnologijama","Predgrađe","Vlastiti ured","Manjak korisnih materijala o korištenim tehnologijama s kojima se po prvi put susrećemo",""
"2020/09/23 4:52:05 PM EET","30","40","3","4","3","3","1","1","4","3","3","4","","Centar","Otvoreni prostor s više ljudi","",""
"2020/09/23 5:08:28 PM EET","30","45","3","2","2","3","1","2","4","3","3","4","","Centar","Otvoreni prostor s više ljudi","",""
"2020/09/23 5:11:30 PM EET","30","45","3","3","3","4","2","2","4","3","3","3","","Centar","Otvoreni prostor s više ljudi","",""
"2020/09/23 5:53:55 PM EET","35","50","3","2","2","3","1","2","4","1","4","3","Sve je napisano","Centar","Otvoreni prostor s više ljudi","sve je bilo super","ne bas"
"2020/09/23 6:12:37 PM EET","","","2","3","2","2","3","3","4","4","4","4","","Centar","Otvoreni prostor s više ljudi","",""
"2020/09/24 12:04:00 PM EET","30","50","4","4","4","1","0","0","4","3","3","3","","Centar","Otvoreni prostor s više ljudi","Nejasna komunikacija želja i nepotpuna i nekvalitetna dokumentacija","Ukidanje nepotrebne komunikacije,  zadavanje zadataka koristeći isti oblik i detaljne uvjete izvršavanja."
"2020/09/24 10:54:11 PM EET","25","70","3","4","4","3","3","2","4","4","3","3","","Centar","Vlastiti ured","rad drugog tipa posla od dogovorenog na razgovoru, vrlo često ispitivanje je li posao gotov (ometanje u poslu)",""